Date,Time,Text,Type,Profile,Background,Name
2023.05.18,,안녕 오빛 오랜만이야,Default,00,00,혜주
2023.05.18,18:34,진짜 오랜만이에요,Text,00,00,혜주
2023.05.18,18:34,저의 근황을 얘기하자면,Text,00,00,혜주
2023.05.18,18:35,달라진 상황은 없지만 그 속에서 열심히,Text,00,00,혜주
2023.05.18,18:35,즐겁게 살고 있어요,Text,00,00,혜주
2023.05.18,18:37,잘 지내고 있다 하니 마음이 좀 놓이죠?,Text,00,00,혜주
2023.05.18,18:43,이제부터 다시 차근차근 소통해 가려고 해요,Text,00,00,혜주
2023.05.18,18:45,저녁 잘 챙겨 먹고 저도 오늘 하루 잘 마무리할 테니 오빛들도 잘 보냅시다!!!,Text,00,00,혜주
2023.05.19,13:04,00,Image,00,00,혜주
2023.05.22,16:56,00,Image,00,00,혜주
2023.05.22,16:56,엄청난 힐링이다,Text,00,00,혜주
2023.05.22,16:56,🥹,Text,00,00,혜주
2023.05.22,19:43,게임은 젤다의 전설 티어스 오브 더 킹덤,Text,00,00,혜주
2023.05.22,19:43,저녁 먹는 시간이지,Text,00,00,혜주
2023.05.22,19:43,나더 방금 밥 먹었어,Text,00,00,혜주
2023.05.22,19:45,저메추?,Text,00,00,혜주
2023.05.22,19:45,음,Text,00,00,혜주
2023.05.22,19:45,냉면,Text,00,00,혜주
2023.05.22,19:46,물냉 비냉 둘 다 괜찮아요,Text,00,00,혜주
2023.05.22,19:47,고생 많았어 오늘 하루ㅜ,Text,00,00,혜주
2023.05.22,19:48,맛있는 저녁 먹으면서 힘들었던 일 있으면 털어내자!!!!!!!!!!!,Text,00,00,혜주
