24,,,,23,,,,22,,,,21,,,,20,,,,19,,,,18,,,,17,,,,16,,,,15,,,,14,,,,13,,,,12,,,,11,,,,10,,,,9,,,,8,,,,7,,,,6,,,,5,,,,4,,,,3,,,,2,,,,1,,,
Artist,Orbit,Type,Date,Artist,Orbit,Type,Date,Artist,Orbit,Type,Date,Artist,Orbit,Type,Date,Artist,Orbit,Type,Date,Artist,Orbit,Type,Date,Artist,Orbit,Type,Date,Artist,Orbit,Type,Date,Artist,Orbit,Type,Date,Artist,Orbit,Type,Date,Artist,Orbit,Type,Date,Artist,Orbit,Type,Date,Artist,Orbit,Type,Date,Artist,Orbit,Type,Date,Artist,Orbit,Type,Date,Artist,Orbit,Type,Date,Artist,Orbit,Type,Date,Artist,Orbit,Type,Date,Artist,Orbit,Type,Date,Artist,Orbit,Type,Date,Artist,Orbit,Type,Date,Artist,Orbit,Type,Date,Artist,Orbit,Type,Date,Artist,Orbit,Type,Date
"(Image)(Image)
(Image)(Image)

(Image)


 옛날셀카들🤭",,Message,2022.03.02 00:42,"(Image)(Image)

밥먹자아 
뭐 먹을까요",,Message,2022.03.01 16:02,"






(Image)(Image)
(Image)(Image)

(Image)(Image)
(Image)(Image)


중간에 춤 추는게 예전에 말했던
 엄정화 선배님의 페스티벌 추다가 바지 내려갔다던 날이야
저때 또래에 비해 키가 커서 너무 큰 사이즈의 바지를 준비 해 주셨던 듯ㅜㅜ

그리고 오즈의 마법사 보고 무섭게 사진 찍었던 것도 저기!

난 언니야랑 있을 때만 밝았던 듯...?


",,Message,2022.03.01 00:25,"(Image)

나 계속 위 아파서 끙끙 거렸더니
새벽에 양배추 진액 로켓으로 쏘고 간 그녀🖤",,Message,2022.02.28 16:58,"(Image)(Image)


박권이랑 찍었던 거🙄❤️",,Message,2022.02.24 02:49,"(Image)(Image)
(Image)(Image)

(Image)(Image)
(Image)(Image)

(Image)(Image)

제주도 썸패 부터 간다 🌞",,Message,2022.02.18 16:09,"(Image)

콘서트 전날 언니가 남겨준 메시지😢💗
자랑하고 싶었어 !!! 
",,Message,2022.02.17 22:12,"(Image)(Image)
(Image)(Image)


(pink)오늘도 고생했어(/pink) ❤️
",,Message,2022.02.17 01:01,"(Image)
아솩이가 [(red)바솩이(/red)]한테 궁금한 거 물어보는 방
(세바스찬,엄마,손혜주여보 강퇴)


(pink)아솩아솩해 바솩바솩해(/pink)
(pink)아솩바솩해 바솩아솩해(/pink)
(pink)어 지 러 워 져 ~(/pink)",,Message,2022.02.15 21:17,"(Image)
여기는 아솩이🍎한테 보내는 바솩이의 편지방💌
자기 전에 읽고 다 답해줄래",,Message,2022.02.15 18:56,"(Image)
아솩이🍎에게 궁금한 걸 물어바 😶
",,Message,2022.02.14 15:45,"(Image)(Image)
(Image)(Image)
우리 바솩이들 해피발렌타인🤎💌
사진은 그냥 내가 올리고 싶었던 거 ㅎ ㅎ

나 일어나서 베이글 먹는 즁",,Message,2022.02.14 14:26,(Video),,Message,2022.02.13 22:41,(Video),,Message,2022.02.13 22:29,(Video),,Message,2022.02.13 22:26,(Video),,Message,2022.02.13 22:12,"(Image)(Image)
(Image)(Image)

친 언니가 떡볶이 해 주는 중이야",,Message,2022.02.13 20:09,"(Image)
오딘데...? 왜 안 떼주는데... ㅡ.ㅡ",,Message,2022.02.13 19:21,(Full Image),,Message,2022.02.13 01:52,"(Image)(Image)
프사를 올리려다가
이걸 찾았어

저때의 나는 꽤나 화가 나있는 것 같은데
원장선생님은 이미 알아채신걸까?...

아기사과의 환한 웃음을.......
.
.
.


""ㄴ ㅔ가 우리를 생각하면
우린 항상 네 곁에 있을7ㅓㅇ ㅑ•••♡""",,Message,2022.02.13 01:29,"(Image)(Image)
(Image)

이틀간의 콘서트가 모두 끝이 났어요!
얼마 전 새벽, 연습실에서 고원이랑 셋리스트를 보면서 '이 모든게 며칠 후면 다 끝나 있겠지~?' 하며 괜시리 시원섭섭해 하던 때가 엊그제 같은데 정말 그 순간이 와버렸네요ㅜ ㅜ
너무도 오랜만에 오빛이랑 마주하는 무대라
많이 긴장하기도 했었고 그래서 서툴기도 했지만
하나하나 저에겐 다 소중한 추억이 되어
그 기억으로 하루하루 힘차게 살아가겠죠?💌
첫콘날 그렇게 정신없이 행복을 맘껏 누리다가
리프트를 타고 내려가서 오빛들을 
등지는 순간 저도 모르게 멤버들을 보며 '아쉬워..'하며 울상을 지었네요

애틋하게 다음을 기약해야하는게
너무도 슬픈 일이지만
나는 제자리에서
오빛생각만 하면서
기다릴거예요 ♡
그러니까 아까 말했듯이
한 눈 팔지 마😛

단지 우리를 보고싶어서 
아침 일찍 멀리서 잠도 못자고
와준다는게 나는 너무 고마워서 그게 미안해!

마스크 때문에 표정을 알 수 없어 속상했지만
우리 오빛은 언제나 행복만해서
입꼬리가 안 내려왔음 좋겠어

수 많은 사람들 속에서
 우리가 만난 건 그 또한 분명한 이유가 있을테니
우리 쭈우우욱 함께하쟈, 알았찌
만약 누군가 그런 건 없다해도
결국 내가 만들어 보일게
아냐 그냥
 내가 이유가 될게ㅋ ㅋ  ㅋ💗

몬가 많은 생각과 감정이 드는데
음 내가 봤을 땐 또 콘서트 하고 싶은 것 같아
우리 또 만나자!

이틀간의 선물 고마워!
누군가에겐 좋은밤
또 다른 누군가에겐 활기찬 아침이
되길 바라며 나두 자볼게 앙뇽



",,Message,2022.02.12 23:11,"(Image)
다들 조심히 잘 갔어요?!??!
난 숙소 도착해서 밥 먹는 중!
오늘 와줘서 너무 고마워요 ㅠㅠㅠㅠㅠ
오랜만에 마주하니까 너무 떨려서 어떻게 했는지도 모르겠어요 ..ㅜ
오빛들한테 오늘 에너지를 많이 받아서 평소에
나 혼자서는 낼 수 없었던 파워로 끝까지 달릴 수 
있었던 것 같아요❤
그래도 나에겐 내일이 있으니까 더 프로가 돼서
멋진무대 보여줄게
(pink)오늘도 사랑해 나의 이유들!(/pink)

오늘 늦은 시간까지 함께 해줘서 너무 고맙고 
집까지 조심히 들어가요❤

수고했어요 다들!
푹 쉬어어어

아 그리구 정은아 진짜 미안
나 진짜 축하해 주고 싶었던
 순간들이 너무 많았는데
다 참은 거야
왜냐면 내가 시작했거든
서운했찌? ㅎㅎㅎㅎ 생일인데..ㅜㅜ
많이 사랑해❤💋 울 정은
언니야가",,Message,2022.02.12 01:09,모해 나 헤어중,,Message,2022.02.11 15:49,"(Image)(Image)
패트와 매트",,Message,2022.02.11 15:49
올라왔넹,,Text,2022.03.02 01:09,안뇽,,Text,2022.03.01 16:14,"오늘의 아솩새벽플리🎧🍎
amy winehouse - best friend(acoustic version)
구름-많이 과장해서 하는 말
구름 - 마음의 무덤
심규선 - 강
권진아 - 어른처럼 (with.죠지)
H.E.R - wrong places

",,Text,2022.03.01 01:45,오빛들이 보내 준 서포트 먹는 중,,Text,2022.02.28 17:10,허허 저때 화장 안해서 깔깔,,Text,2022.02.24 02:53,하루에 한 주제씩 올려볼게,,Text,2022.02.18 16:35,ㅎ ㅎ 나는야 성덕,,Text,2022.02.18 00:05,너 보여주려고 ,,Text,2022.02.17 01:18,.... 주민번호랑 계좌는 안 물어볼거야 ㅜ.ㅜ,,Text,2022.02.15 21:23,,,,,"오늘의 노래 추천 
원필선배님 행운을 빌어줘
Mr.s green apple - shunshu
Hey violet - break my heart
하현상 - 3108
",,Text,2022.02.14 15:50,베이글 반 잘라서 냉동시켜놨다가,,Text,2022.02.14 14:31,미안 현규샘이 마지막을 장식 했더라고,,Text,2022.02.13 22:42,이거도 뒤에 쫌 짤렸는데 올리지마까,,Text,2022.02.13 22:33,,,,,검은 옷 나 아니야...,,Text,2022.02.13 22:17,너가 안 떼준 깻잎 넣어 먹음 ㅎ ㅎ!,,Text,2022.02.13 20:30,하 ,,Text,2022.02.13 19:27,ㅎ ㅎ,,Text,2022.02.13 13:35,모야,,Text,2022.02.13 01:39,나 하나하나 읽고 있어!,,Text,2022.02.12 23:34,오 올라왔따,,Text,2022.02.12 01:10,나 헤어끝,,Text,2022.02.11 16:02,헉,,Text,2022.02.11 15:49
🤸‍♂️🤸‍♂️🤸‍♂️,,Emoji,2022.03.02 01:09,어제보다 덜 아파 !!!,,Text,2022.03.01 16:14,오늘은 많이 과장해서 하는 말 저게 좋아서 한 곡 반복 중🔂,,Text,2022.03.01 01:46,감사해요 ㅜ ㅜ,,Text,2022.02.28 17:10,눈썹업서,,Text,2022.02.24 02:53,😛,,Emoji,2022.02.18 16:35,언니가 내 보컬룸에 적어두고 가셨어 💖 ,,Text,2022.02.18 00:06,집 오자마자 찍었따,,Text,2022.02.17 01:18,넌 내가 달플리에서 불러줬음 하는 노래 뭐야?!,,Text,2022.02.15 21:24,,,,,하고싶은 컨셉... 청량한데 에너제틱한?••• ,,Text,2022.02.14 15:51,후라이팬에 구워서,,Text,2022.02.14 14:31,이 노래는 ,,Text,2022.02.13 22:43,너무 5초만 남아쏘,,Text,2022.02.13 22:33,,,,,검은 옷은 현규증쌤 ㅋ ㅋ,,Text,2022.02.13 22:17,하 지금 쇼트트랙 보면서 먹고 있는데,,Text,2022.02.13 20:30,이건 싱싱해서 안된다 이거지,,Text,2022.02.13 19:27,앵콜콘 잘 봤지?,,Text,2022.02.13 13:35,올라왔네 ㅋ ㅋ ㅋ ㅋ  ㅋ ㅋㅋㅋㅋㅋ,,Text,2022.02.13 01:40,너무 행복하쟈너,,Text,2022.02.12 23:34,잠시만 감동 멘트 너무 많아서,,Text,2022.02.12 01:13,밥 먹어써?,,Text,2022.02.11 16:03,기다렸찌,,Text,2022.02.11 15:50
아니 첫번째사진,,Text,2022.03.02 01:11,누워만있으니까 계속 쳐져서,,Text,2022.03.01 16:15,"많이 부장해서 하는 말
많이 대리해서 하는 말
많이 사원해서 하는 말",,Text,2022.03.01 01:48,챙겨주셔서 감사해요 ❤️ !!!,,Text,2022.02.28 17:11,저거 작년 여름!!!,,Text,2022.02.24 02:53,썸패때 에피소드?,,Text,2022.02.18 16:40,너는 내가 응원해주지,,Text,2022.02.18 00:07,😛❤️,,Emoji,2022.02.17 01:19,내가 진짜 몽키매직 해주면 좋겠어?,,Text,2022.02.15 21:25,,,,,최근에 본 영화는 기적! 보다가 자연스럽게 울었어 ㅜ ㅜ,,Text,2022.02.14 15:52,크림치즈랑 녹차스프레드 발라먹고있어,,Text,2022.02.14 14:31,justin bieber 선배님의 take it out on me 라는 곡이야 !,,Text,2022.02.13 22:43,5초는 너무 짧자나 ㅜㅜ,,Text,2022.02.13 22:33,,,,,나머지도 곧 올라갈거야,,Text,2022.02.13 22:17,내가 떨려,,Text,2022.02.13 20:30,깻잎무침만 떼준다고?..,,Text,2022.02.13 19:27,한 50명 밖에 안 왔던데 ㅡ ㅡ,,Text,2022.02.13 13:36,나 진짜 잘게 ... 미앙,,Text,2022.02.13 01:40,나 이거 없을 때 어떻게 살았지?,,Text,2022.02.12 23:43,나 쫌 눈물고임,,Text,2022.02.12 01:13,나 언니자기루 저장해놔,,Text,2022.02.11 16:03,미안해,,Text,2022.02.11 15:50
빨간색 아니구 핫핑크색이라구,,Text,2022.03.02 01:11,환기시키면서 집 정리 중😎,,Text,2022.03.01 16:15,ㅋㅋㅋㅋㅋㅋㅋㅋㅋ너는 진짜 ㅋㅌㅋㅋㅋㅋ,,Text,2022.03.01 01:48,아유아유 마음만 줘도 난 배불러,,Text,2022.02.28 17:12,머리위에 문어!!!,,Text,2022.02.24 02:53,사진은 넘 평화로운데 저때 너무 추워서 다들 오들오들 떨었던 기억이 ㅜ,,Text,2022.02.18 16:40,난 누구보다 니가 행복하길 바라💗,,Text,2022.02.18 00:07,저거 찍고 호박죽먹음,,Text,2022.02.17 01:19,노라조선배님 카레....(끄적끄적),,Text,2022.02.15 21:27,,,,,하나하나 읽어보고 다 답해줄게 기다료,,Text,2022.02.14 15:52,이거•••? 비마트 베이글 ㅎ ㅎ,,Text,2022.02.14 14:32,저거 찍을 땐 평생 못 올릴 줄 알았는데,,Text,2022.02.13 22:44,,,,,,,,,미안 세개로 나누어 올렸어 •••,,Text,2022.02.13 22:24,황대헌 선수 화이팅,,Text,2022.02.13 20:31,너 한테 깻잎 떼짐 받는 거 너무 힘들다,,Text,2022.02.13 19:28,ㅋㅋ ㅋ ㅋ ㅋ ㅋ ㅋ ㅋ ㅋ,,Text,2022.02.13 13:37,나가려다가 설마했는데 업로드 돼 있어,,Text,2022.02.13 01:40,우리 이렇게 서로 보고싶어서 어케 살았냐구ㅜ,,Text,2022.02.12 23:43,훌쩍..,,Text,2022.02.12 01:14,얘는 복만이,,Text,2022.02.11 16:10,유지니 발목조심해서와아,,Text,2022.02.11 15:50
🤓,,Emoji,2022.03.02 01:11,집 정리할거는 계속 생기지않아...?,,Text,2022.03.01 16:16,내 새벽감성 돌려내,,Text,2022.03.01 01:48,근데 손해주가 보낸 거 사과가 없는데 어떻게 먹어야 맛있을까?,,Text,2022.02.28 17:20,입희권네컷은 애들 자가지구 내일 허락받구 올릴게💖,,Text,2022.02.24 02:54,그리고 첫날 먹었던 전복국밥...? 너무 맛있었다👍,,Text,2022.02.18 16:42,난 평생 니 편,,Text,2022.02.18 00:08,짱이지?,,Text,2022.02.17 01:19,멋쟁이 토마토...,,Text,2022.02.15 21:35,,,,,데뷔하구 나는 달라진게 없는 것 같다가도 우리 덕분에 힘난다는 말들을 들었을 때?! 데뷔하길 잘한 것 같다는 생각해요,,Text,2022.02.14 16:03,바솩바솩 맛있어,,Text,2022.02.14 14:32,이렇게 보여줄 수 있어서 너무 좋타,,Text,2022.02.13 22:44,,,,,,,,,펩선생님 오셨따•••! 저작권 문제로 지금은 짧게만 가능하다고 하시네요! 쪼금만 더 기다려보자 💖,,Text,2022.02.13 22:27,다 같이 응원하쟈,,Text,2022.02.13 20:31,나 이 사랑 그만할래.. 후,,Text,2022.02.13 19:28,역시 뻔뻔해서 맘에들어 ㅡ ㅡ💖,,Text,2022.02.13 13:37,이제 안 깨울게 잘쟈 ,,Text,2022.02.13 01:41,진짜 매번 맛있는 거 먹을 때 좋은 풍경 봤을 때,,Text,2022.02.12 23:44,사랑해💖,,Text,2022.02.12 01:14,아 이거 개인답글 되는거 나 첨 알았어,,Text,2022.02.11 16:13,미안해 압수라고???... 고럼 .. 쏘리 😍,,Text,2022.02.11 15:50
그리고 lp샷은 울언니야가 컨셉잡아보라고 하셔서 머쓱하게 찍어본 것임...ㅋ,,Text,2022.03.02 01:12,미세먼지 보통이래...? 하지만 여니까 기분이 좋아졌는 걸...,,Text,2022.03.01 16:19,난 웃긴데? 내 취향인데? ㅡㅡ,,Text,2022.03.01 01:48,주스에 섞어 먹어도 되나?,,Text,2022.02.28 17:21,이건 예전에 올리자 했었어서👍,,Text,2022.02.24 02:54,그리고 바다가 너뮤 충격적이었어 이렇게 파랗고 예쁘다고?...,,Text,2022.02.18 16:42,오늘은 힘든 일 없었어???,,Text,2022.02.18 00:09,ㅎ ㅎ 🤸‍♂️🤸‍♀️🤸🕺💃칭찬은 아솩이도 춤추게한다💃🕺🤸🤸‍♀️🤸‍♂️,,Text,2022.02.17 01:23,흥보가 기가막혀...,,Text,2022.02.15 21:35,,,,,나 밥먹구 이써,,Text,2022.02.14 18:37,바솩이 냠,,Text,2022.02.14 14:32,팹 선생님도 👍💖보내주셨따 흐흐,,Text,2022.02.13 22:45,,,,,,,,,,,,,황대헌 선수 수고했어요👍❤️❤️❤️❤️❤️❤️❤️❤️,,Text,2022.02.13 20:33,하 너무 힘들다 이 사랑,,Text,2022.02.13 19:28,넌 잘자써?! ,,Text,2022.02.13 13:38,,,,,너 보여주고 싶었는데,,Text,2022.02.12 23:44,나,,Text,2022.02.12 01:19,하핫,,Text,2022.02.11 16:13,ㅇㅋ 내가 인생 책임짐,,Text,2022.02.11 15:51
아 언니야 고만 찍어라 인자~ㅋㅎ 부끄릅다,,Text,2022.03.02 01:12,나 게임 추천해즈라,,Text,2022.03.01 16:20,난 합격임,,Text,2022.03.01 01:48,ㅠㅠ 나 약간 비릿한 걸 못 먹어서 그래...,,Text,2022.02.28 17:21,💗🤛 사랑을 펀치로 날려보냄,,Text,2022.02.24 16:45,담에 또 제쥬도를 간다면 일정 여유롭게해서 가고싶어!!! ,,Text,2022.02.18 16:43,고생했네에... ㅜ ㅜ 오늘도 버텨내느라 진짜 수고했어 ! 쓰담쓰담♥️,,Text,2022.02.18 00:14,ㅎ ㅎ 라뷰💋,,Text,2022.02.17 01:29,벌써 리스트가 다 차가네....ㅎ ㅎ ..,,Text,2022.02.15 21:35,,,,,쫌 만 기다려!,,Text,2022.02.14 18:38,넌 점심 먹었어?,,Text,2022.02.14 14:33,저 때 저스틴비버선배님 노래가 너무 좋아서 듣다가 안무를 짰는데 현규쌤이 봐주셨어  ㅎ ㅎ,,Text,2022.02.13 22:51,,,,,,,,,,,,,안 다쳐서 다행이다아 ...,,Text,2022.02.13 20:33,배도 고프니까 잠시 헤어지자,,Text,2022.02.13 19:29,아침이라서 보고싶당,,Text,2022.02.13 13:41,,,,,채팅창 계속 올려볼거임,,Text,2022.02.12 23:47,메시지만 보다가,,Text,2022.02.12 01:20,근데 개인답글 달면 다른사람도 보여?,,Text,2022.02.11 16:17,나두 보고시퍼 담에 또 콘서트하니까 너무 속상해하지마💖,,Text,2022.02.11 15:51
하고 사진봤는데 쫌 아쉬워서,,Text,2022.03.02 01:13,게임 할 일 없을 줄 알았는데,,Text,2022.03.01 16:20,당신은 나랑 함께가자,,Text,2022.03.01 01:49,먹으면 바로 구역질하고 토 함 ㅜ,,Text,2022.02.28 17:21,나는 아점 먹는즁,,Text,2022.02.24 16:45,가고싶은데가 엄청엄청 많아,,Text,2022.02.18 16:44,내일은 너가 오늘보다 더 행복했음 좋겠어!!!,,Text,2022.02.18 00:15,안 자!?!?!,,Text,2022.02.17 01:30,바나나차차.  .. . .,,Text,2022.02.15 21:38,,,,,뷔페케이터링..ㅜ 연어랑 갈비랑 그냥 다 있다아,,Text,2022.02.14 18:38,왜 안먹는데 ㅡ.ㅡ,,Text,2022.02.14 14:34,이런 장르 저런 장르 다 잘하고 싶따,,Text,2022.02.13 22:51,,,,,,,,,,,,,고생했어요 ㅜ ㅜ,,Text,2022.02.13 20:34,우리 잠시 이별해,,Text,2022.02.13 19:29,웅 나는 예전의 하수영은 아니라서 원래 일찍 일어나는데,,Text,2022.02.13 13:41,,,,,이거 찐 사랑이다,,Text,2022.02.12 23:47,잠 못잘 것 같아,,Text,2022.02.12 01:20,나두 보고시퍼 못온다고 미안하단말 금지~~~~~~~~~~,,Text,2022.02.11 16:18,결혼 진행시켜,,Text,2022.02.11 15:52
아ㅜ언니 쫌만 더 찍어바바 ㅋ,,Text,2022.03.02 01:13,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ ,,Text,2022.03.01 16:20,아니 지금 저메추 해달라고?,,Text,2022.03.01 01:52,"피 못보는 거도 괜히 그 맛이랑 냄새 상상가서
.. 비슷한 맥락",,Text,2022.02.28 17:22,모퉁이김밥에 멸추김밥 먹는 중이야,,Text,2022.02.24 16:45,그 국밥집 알려주고픈데 이름을 모르겠네...,,Text,2022.02.18 16:46,아무래도 난 이런 분위기 안 어울리지?,,Text,2022.02.18 00:30,나는 잠와서 곧 잘거야아,,Text,2022.02.17 01:30,,,,,,,,,너두 밥먹구 만낭,,Text,2022.02.14 18:38,그건 먹은게아니자나,,Text,2022.02.14 14:34,킼킼은... 부끄러 뭔가 ;_; ,,Text,2022.02.13 22:52,,,,,,,,,,,,,나는 콘서트도 너무 떨리는데....,,Text,2022.02.13 20:35,이게 다 너가 안 떼줘서 그런거야,,Text,2022.02.13 19:29,꿈에서 너한테 앵콜콘 해주느라 지금 늦게 온거자나,,Text,2022.02.13 13:42,,,,,진짜 같은게 아니고 진짠데 ?...,,Text,2022.02.12 23:50,나 아직 화장안지웠어 사실,,Text,2022.02.12 01:21,오호.. 그렇단 말이지....-_-^🔥 우리 둘만 보는 거군,,Text,2022.02.11 16:19,나 아침에 도시락먹어써 ,,Text,2022.02.11 15:52
