date,time,text,type,profile,background,name
2023.05.18,,안녕.ᐟ 보고싶었어 앞으로 더 행복하게 해줄게🍎🐰,Default,00,Default,이브
2023.05.18,11:59,@ ,Text,00,Default,이브
2023.05.18,11:59,머해,Text,00,Default,이브
2023.05.18,11:59,?.ᐟ.ᐟ.ᐟ.ᐟ ,Text,00,Default,이브
2023.05.18,11:59,거짓말,Text,00,Default,이브
2023.05.18,11:59,ㅠ,Text,00,Default,이브
2023.05.18,11:59,보구시펑,Text,00,Default,이브
2023.05.18,11:59,ㅎ ㅎ,Text,00,Default,이브
2023.05.18,11:59,잉 왜 술마셔,Text,00,Default,이브
2023.05.19,00:00,?????,Text,00,Default,이브
2023.05.19,00:00,내가 보고싶다구? ㅋㅋㅋㅋㅋㅋㅋ,Text,00,Default,이브
2023.05.19,00:00,나도 보고싶지...,Text,00,Default,이브
2023.05.19,00:01,내가 닉넴 바꿨음좋겠어?,Text,00,Default,이브
2023.05.19,00:01,ㅇㅅㅇ,Text,00,Default,이브
2023.05.19,00:01,여자친구나 여보로,Text,00,Default,이브
2023.05.19,00:01,해달라구? ㅋㅋㅋㅋㅋㅋㅋㅋ,Text,00,Default,이브
2023.05.19,00:03,이거는,Text,00,Default,여보
2023.05.19,00:03,어때,Text,00,Default,여보
2023.05.19,00:04,ㅋ..,Text,00,Default,여보
2023.05.19,00:04,좋다규 싫다고,Text,00,Default,여보
2023.05.19,00:04,반반 나뉘는대여,Text,00,Default,여보
2023.05.19,00:04,아 욱기고,Text,00,Default,여보
2023.05.19,00:04,친구가 볼까바 부끄럽다고...,Text,00,Default,여보
2023.05.19,00:05,내가 부끄럽꾸나,Text,00,Default,여보
2023.05.19,00:05,알겠어,Text,00,Default,여보
2023.05.19,00:05,5월 납부금액 고지서입니다,Text,00,Default,건강보험
2023.05.19,00:52,ㅁㅎ,Text,00,Default,건강보험
2023.05.19,00:52,자?.ᐟ.ᐟ.ᐟ.ᐟ.ᐟ.ᐟ.ᐟ.ᐟ!,Text,00,Default,건강보험
2023.05.19,00:53,ㅋㅋ,Text,00,Default,건강보험
2023.05.19,00:53,이름멀로해주까,Text,00,Default,건강보험
2023.05.19,00:53,@ 이가 원하는걸루하께,Text,00,Default,건강보험
2023.05.19,00:54,수영이 vs 여보 vs 내사랑,Text,00,Default,건강보험
2023.05.19,00:54,많이 나온 후보들,Text,00,Default,건강보험
2023.05.19,00:54,골라 .ᐟ ,Text,00,Default,건강보험
2023.05.19,00:54,여보가 많은데 ㅜ,Text,00,Default,건강보험
2023.05.19,00:54,싫다매,Text,00,Default,건강보험
2023.05.19,00:54,나 머해야되눈데 ㅡㅡ,Text,00,Default,건강보험
2023.05.19,00:55,내사랑 해달라고 ?,Text,00,Default,건강보험
2023.05.19,00:55,하나만 딱 골라바,Text,00,Default,건강보험
2023.05.19,00:55,안자는사람특혜,Text,00,Default,건강보험
2023.05.19,00:55,내사랑 많네,Text,00,Default,건강보험
2023.05.19,00:55,알겟어,Text,00,Default,건강보험
2023.05.19,00:55,ㄱㄷ,Text,00,Default,건강보험
2023.05.19,00:56,안뇽,Text,00,Default,내사랑ㅋ
2023.05.19,00:56,싫어 ???,Text,00,Default,내사랑ㅋ
